Player Id	Season	Fee	Market Value	Team A	Team B	ID Team A	ID Team B
119296	10/11	-	-	FC Bayern U17	FC Bayern U19	21058	1462
119296	09/10	Free transfer	-	Frankfurt Yth.	FC Bayern U17	12016	21058
388513	19/20	Free transfer	€300Th.	Barça U19	Bor. Dortmund	2470	16
388513	17/18	-	-	Barça U18	Barça U19	39813	2470
388513	15/16	?	-	RCD Mallorca Yo	Barça U18	25625	39813
384745	19/20	-	-	B. Dortmund U19	Bor. Dortmund	1464	16
384745	17/18	-	-	B. Dortmund U17	B. Dortmund U19	21055	1464
384745	16/17	-	-	B. Dortmund U16	B. Dortmund U17	41210	21055
384745	15/16	Free transfer	-	Düsseldorf Yth.	B. Dortmund U16	11955	41210
384745	13/14	Free transfer	-	M'gladbach Yth.	Düsseldorf Yth.	11845	11955
384745	11/12	Free transfer	-	Unterrath Yth.	M'gladbach Yth.	33188	11845
504215	19/20	-	-	B. Dortmund U19	Bor. Dortmund	1464	16
504215	19/20	Free transfer	-	NYCFC Academy	B. Dortmund U19	56704	1464
388815	19/20	-	-	B. Dortmund U19	Bor. Dortmund	1464	16
388815	17/18	-	-	B. Dortmund U17	B. Dortmund U19	21055	1464
388815	16/17	Free transfer	-	VfL Bochum Yth.	B. Dortmund U17	11894	21055
274461	19/20	End of loan	€1.30m	Fortuna Sittard	Bor. Dortmund	385	16
274461	19/20	Loan	€1.50m	Bor. Dortmund	Fortuna Sittard	16	385
274461	18/19	End of loan	€1.50m	Norwich	Bor. Dortmund	1123	16
274461	18/19	Loan fee:	€1.50m	Bor. Dortmund	Norwich	16	1123
274461	17/18	End of loan	€1.50m	TSG Hoffenheim	Bor. Dortmund	533	16
274461	17/18	Loan	€3.00m	Bor. Dortmund	TSG Hoffenheim	16	533
274461	15/16	-	-	B. Dortmund U19	Bor. Dortmund	1464	16
274461	15/16	-	-	B. Dortmund U17	B. Dortmund U19	21055	1464
274461	13/14	-	-	B. Dortmund U16	B. Dortmund U17	41210	21055
274461	13/14	-	-	Dortmund Yth.	B. Dortmund U16	11896	41210
274461	12/13	Free transfer	-	RW Oberh. Yth.	Dortmund Yth.	38232	11896
274461	10/11	Free transfer	-	F. Bottrop Yth.	RW Oberh. Yth.	49046	38232
349066	19/20	€6.50m	€8.00m	Bor. Dortmund	Real Sociedad	16	681
349066	18/19	End of loan	€8.00m	Willem II	Bor. Dortmund	403	16
349066	18/19	Loan	€3.00m	Bor. Dortmund	Willem II	16	403
349066	16/17	€8.60m	€1.75m	AIK	Bor. Dortmund	272	16
349066	15/16	-	-	AIK U19	AIK	16574	272
349066	15/16	-	-	AIK U17	AIK U19	42331	16574
44466	19/20	€4.00m	€3.00m	Bor. Dortmund	E. Frankfurt	16	24
44466	18/19	End of loan	€3.00m	E. Frankfurt	Bor. Dortmund	24	16
44466	18/19	Loan	€1.50m	Bor. Dortmund	E. Frankfurt	16	24
44466	16/17	€12.00m	€8.00m	Bayern Munich 	Bor. Dortmund	27	16
44466	14/15	Free transfer	€9.00m	E. Frankfurt	Bayern Munich 	24	27
44466	10/11	€250Th.	€300Th.	K. Offenbach	E. Frankfurt	107	24
44466	08/09	-	-	K. Offenb. U19	K. Offenbach	8489	107
44466	07/08	-	-	K. Offenb. U17	K. Offenb. U19	21069	8489
44466	05/06	Free transfer	-	Darmstadt Yth.	K. Offenb. U17	33469	21069
44466	04/05	Free transfer	-	Griesheim Yth.	Darmstadt Yth.	49875	33469
129674	19/20	End of loan	€3.50m	Sassuolo	Bor. Dortmund	6574	16
129674	19/20	Loan fee:	€3.00m	Bor. Dortmund	Sassuolo	16	6574
129674	18/19	End of loan	€3.00m	Celtic	Bor. Dortmund	371	16
129674	18/19	Loan	€3.00m	Bor. Dortmund	Celtic	16	371
129674	17/18	€7.00m	€3.50m	TSG Hoffenheim	Bor. Dortmund	533	16
129674	13/14	-	€100Th.	Hoffenheim II	TSG Hoffenheim	983	533
129674	12/13	-	-	Hoffenheim U19	Hoffenheim II	8925	983
129674	11/12	€500Th.	-	Stuttgart U17	Hoffenheim U19	21084	8925
129674	09/10	Free transfer	-	S. Kickers Yth.	Stuttgart U17	29815	21084
129674	08/09	Free transfer	-	Without Club	S. Kickers Yth.	515	29815
129674	07/08	-	-	Steinhaldenfeld	Without Club	47087	515
129674	07/08	-	-	Unknown	Steinhald. Yth.	75	47088
129674	06/07		-	Sommerrain Yth.	Unknown	47090	75
58205	19/20	End of loan	€6.50m	Spartak Moscow	Bor. Dortmund	232	16
58205	19/20	Loan fee:	€12.00m	Bor. Dortmund	Spartak Moscow	16	232
58205	18/19	End of loan	€12.00m	Fulham	Bor. Dortmund	931	16
58205	18/19	Loan fee:	€15.00m	Bor. Dortmund	Fulham	16	931
58205	16/17	€30.00m	€25.00m	VfL Wolfsburg	Bor. Dortmund	82	16
58205	14/15	€32.00m	€23.00m	Chelsea	VfL Wolfsburg	631	82
58205	13/14	€22.00m	€25.00m	Bay. Leverkusen	Chelsea	15	631
58205	11/12	€8.50m	€12.50m	1.FSV Mainz 05	Bay. Leverkusen	39	15
58205	09/10	-	-	Mainz 05 U19	1.FSV Mainz 05	5369	39
58205	07/08	-	-	Mainz 05 U17	Mainz 05 U19	21051	5369
58205	06/07	Free transfer	-	Ludwigs. SC U17	Mainz 05 U17	42297	21051
58205	05/06	-	-	Ludw. SC Yth.	Ludwigs. SC U17	40756	42297
81785	19/20	€3.00m	€6.00m	Bor. Dortmund	Real Zaragoza	16	142
81785	18/19	End of loan	€6.00m	Besiktas	Bor. Dortmund	114	16
81785	18/19	Loan	€8.00m	Bor. Dortmund	Besiktas	16	114
81785	14/15	€8.00m	€15.00m	Man Utd	Bor. Dortmund	985	16
81785	12/13	€16.00m	€22.00m	Bor. Dortmund	Man Utd	16	985
81785	10/11	Free transfer	€2.50m	Cerezo Osaka	Bor. Dortmund	1022	16
81785	05/06	Free transfer	-	FC Miyagi Yth.	Cerezo Osaka	24089	1022
229005	19/20	€32.00m	€35.00m	Bor. Dortmund	Paris SG	16	583
229005	18/19	€28.00m	€12.00m	1.FSV Mainz 05	Bor. Dortmund	39	16
229005	17/18	€5.00m	€1.00m	Monaco	1.FSV Mainz 05	162	39
229005	15/16	End of loan	€1.20m	Zulte Waregem	Monaco	3508	162
229005	15/16	Loan	€500Th.	Monaco	Zulte Waregem	162	3508
229005	14/15	-	-	Monaco B	Monaco	9668	162
229005	13/14	-	-	Monaco U19	Monaco B	9669	9668
196792	19/20	€20.00m	€23.00m	Bor. Dortmund	Benfica	16	294
196792	15/16	€2.50m	€2.00m	1860 Munich	Bor. Dortmund	72	16
196792	13/14	-	€100Th.	1860 München II	1860 Munich	73	72
196792	13/14	-	-	TSV 1860 U19	1860 München II	2510	73
196792	12/13	-	-	TSV 1860 U17	TSV 1860 U19	21083	2510
196792	10/11	Free transfer	-	Rosenheim Yth.	TSV 1860 U17	42287	21083
196792	06/07	Free transfer	-	Ostermünchen	Rosenheim Yth.	33551	42287
143891	19/20	€20.00m	€13.00m	Bor. Dortmund	Dinamo Moscow	16	121
143891	17/18	€20.00m	€15.00m	SC Freiburg	Bor. Dortmund	60	16
143891	14/15	-	€100Th.	SC Freiburg II	SC Freiburg	245	60
143891	13/14	-	€25Th.	SC Freiburg U19	SC Freiburg II	4042	245
143891	12/13	Free transfer	-	E. Cottbus U19	SC Freiburg U19	2492	4042
143891	11/12	Free transfer	-	TeBe Berlin U17	E. Cottbus U19	21080	2492
143891	09/10	-	-	TeBe Youth	TeBe Berlin U17	12596	21080
143891	08/09	Free transfer	-	Hertha BSC Yth.	TeBe Youth	11844	12596
293281	19/20	€9.00m	€12.00m	Bor. Dortmund	TSG Hoffenheim	16	533
293281	17/18	End of loan	€500Th.	VfB Stuttgart	Bor. Dortmund	79	16
293281	17/18	Loan fee:	€500Th.	Bor. Dortmund	VfB Stuttgart	16	79
293281	17/18	-	-	B. Dortmund U19	Bor. Dortmund	1464	16
293281	15/16	-	-	B. Dortmund U17	B. Dortmund U19	21055	1464
293281	14/15	€250Th.	-	Lyngby BK Youth	B. Dortmund U17	9712	21055
43512	19/20	End of loan	€3.50m	Werder Bremen	Bor. Dortmund	86	16
43512	19/20	Loan fee:	€5.00m	Bor. Dortmund	Werder Bremen	16	86
43512	17/18	€12.00m	€16.00m	Bay. Leverkusen	Bor. Dortmund	15	16
43512	11/12	€3.00m	€4.00m	SC Freiburg	Bay. Leverkusen	60	15
43512	08/09	-	€100Th.	SC Freiburg U19	SC Freiburg	4042	60
43512	06/07	-	-	SC Freiburg U17	SC Freiburg U19	21075	4042
43512	05/06	Free transfer	-	Ravensburg U17	SC Freiburg U17	37898	21075
43512	04/05	-	-	Ravensburg Yth.	Ravensburg U17	29183	37898
43512	01/02	Free transfer	-	Ravensburg Yth.	Ravensburg Yth.	42459	29183
193900	19/20	End of loan	€6.50m	Hertha BSC	Bor. Dortmund	44	16
193900	19/20	Loan fee:	€8.00m	Bor. Dortmund	Hertha BSC	16	44
193900	18/19	€5.00m	€10.00m	E. Frankfurt	Bor. Dortmund	24	16
193900	18/19	€500Th.	€10.00m	Hannover 96	E. Frankfurt	42	24
193900	17/18	End of loan	€10.00m	E. Frankfurt	Hannover 96	24	42
193900	16/17	Loan fee:	€350Th.	Hannover 96	E. Frankfurt	42	24
193900	15/16	€1.50m	€800Th.	1860 Munich	Hannover 96	72	42
193900	14/15	-	€100Th.	1860 München II	1860 Munich	73	72
193900	14/15	-	€50Th.	TSV 1860 U19	1860 München II	2510	73
193900	12/13	Free transfer	-	Nürnberg U17	TSV 1860 U19	21049	2510
193900	11/12	-	-	Nürnberg Yth.	Nürnberg U17	20462	21049
366930	19/20	End of loan	€2.30m	SD Huesca	Bor. Dortmund	5358	16
366930	19/20	Loan	€3.00m	Bor. Dortmund	SD Huesca	16	5358
